Timestamp,Rank,TrendPhrase
2014/04/23 08:27:02,2,Juniors
2014/04/23 08:27:02,3,Fcat
2014/04/23 08:27:02,4,#myNYPD
2014/04/23 08:27:02,5,ACTs
2014/04/23 08:27:02,6,#MostBeautiful
2014/04/23 08:27:02,7,#HappyBirthdayShakespeare
2014/04/23 08:27:02,8,#GreenTVShows
2014/04/23 08:27:02,9,William Shakespeare
2014/04/23 08:27:02,10,McDonalds
2014/04/23 08:32:02,1,Juniors
2014/04/23 08:32:02,2,#HappyBirthdayShakespeare
2014/04/23 08:32:02,3,#SLC14
2014/04/23 08:32:02,4,ACTs
2014/04/23 08:32:02,5,STAAR
2014/04/23 08:32:02,6,#MostBeautiful
2014/04/23 08:32:02,7,#OrangeRoom
2014/04/23 08:32:02,8,Lupita Nyong'o
2014/04/23 08:32:02,9,William Shakespeare
2014/04/23 08:32:02,10,#WrigleyField100
2014/04/23 08:37:03,1,FCAT
2014/04/23 08:37:03,2,#HappyBirthdayShakespeare
2014/04/23 08:37:03,3,#myNYPD
2014/04/23 08:37:03,4,ACTs
2014/04/23 08:37:03,5,STAAR
2014/04/23 08:37:03,6,#MostBeautiful
2014/04/23 08:37:03,7,#OrangeRoom
2014/04/23 08:37:03,8,Lupita Nyong'o
2014/04/23 08:37:03,9,William Shakespeare
2014/04/23 08:37:03,10,#WrigleyField100
2014/04/23 08:42:04,1,#WomanCrushWednesday
2014/04/23 08:42:04,2,Juniors
2014/04/23 08:42:04,3,#myNYPD
2014/04/23 08:42:04,4,ACTs
2014/04/23 08:42:04,5,STAAR
2014/04/23 08:42:04,6,#MostBeautiful
2014/04/23 08:42:04,7,#HappyBirthdayShakespeare
2014/04/23 08:42:04,8,Lupita Nyong'o
2014/04/23 08:42:04,9,William Shakespeare
2014/04/23 08:42:04,10,#WrigleyField100
2014/04/23 08:47:05,1,Juniors
2014/04/23 08:47:05,2,#slc14
2014/04/23 08:47:05,3,#myNYPD
2014/04/23 08:47:05,4,ACTs
2014/04/23 08:47:05,5,STAAR
2014/04/23 08:47:05,6,#MostBeautiful
2014/04/23 08:47:05,7,#HappyBirthdayShakespeare
2014/04/23 08:47:05,8,Lupita Nyong'o
2014/04/23 08:47:05,9,William Shakespeare
2014/04/23 08:47:05,10,#WrigleyField100
2014/04/23 08:52:05,1,Juniors
2014/04/23 08:52:05,2,#slc14
2014/04/23 08:52:05,3,#myNYPD
2014/04/23 08:52:05,4,ACTs
2014/04/23 08:52:05,5,STAAR
2014/04/23 08:52:05,6,#AdministrativeProfessionalsDay
2014/04/23 08:52:05,7,#MostBeautiful
2014/04/23 08:52:05,8,#HappyBirthdayShakespeare
2014/04/23 08:52:05,9,Lupita Nyong'o
2014/04/23 08:52:05,10,William Shakespeare
2014/04/23 08:57:06,1,#slc14
2014/04/23 08:57:06,2,ACTs
2014/04/23 08:57:06,3,Florida
2014/04/23 08:57:06,4,STAAR
2014/04/23 08:57:06,5,#AdministrativeProfessionalsDay
2014/04/23 08:57:06,6,#MostBeautiful
2014/04/23 08:57:06,7,#HappyBirthdayShakespeare
2014/04/23 08:57:06,8,Lupita Nyong'o
2014/04/23 08:57:06,9,William Shakespeare
2014/04/23 08:57:06,10,#WrigleyField100
2014/04/23 09:02:06,1,Lupita Nyong'o
2014/04/23 09:02:06,2,IHOP
2014/04/23 09:02:06,3,#myNYPD
2014/04/23 09:02:06,4,ACTs
2014/04/23 09:02:06,5,STAAR
2014/04/23 09:02:06,6,#AdministrativeProfessionalsDay
2014/04/23 09:02:06,7,#MostBeautiful
2014/04/23 09:02:06,8,#HappyBirthdayShakespeare
2014/04/23 09:02:06,9,#GreenTVShows
2014/04/23 09:02:06,10,William Shakespeare
2014/04/23 09:07:07,1,Lupita Nyong'o
2014/04/23 09:07:07,2,Juniors
2014/04/23 09:07:07,3,ACTs
2014/04/23 09:07:07,4,STAAR
2014/04/23 09:07:07,5,#AdministrativeProfessionalsDay
2014/04/23 09:07:07,6,#MostBeautiful
2014/04/23 09:07:07,7,#HappyBirthdayShakespeare
2014/04/23 09:07:07,8,#GreenTVShows
2014/04/23 09:07:07,9,William Shakespeare
2014/04/23 09:07:07,10,#WrigleyField100
2014/04/23 09:12:07,1,Wrigley Field
2014/04/23 09:12:07,2,#HappyBirthdayShakespeare
2014/04/23 09:12:07,3,Chicago
2014/04/23 09:12:07,4,Luke
2014/04/23 09:12:07,5,Florida
2014/04/23 09:12:07,6,Bulls
2014/04/23 09:12:07,7,New York
2014/04/23 09:12:07,8,Disney
2014/04/23 09:12:07,9,William Shakespeare
2014/04/23 09:12:07,10,Texas
2014/04/23 09:17:11,1,#500club
2014/04/23 09:17:11,2,#MIHRDAY
2014/04/23 09:17:11,3,#UncharitablePHL
2014/04/23 09:17:11,4,Happy Administrative Professionals Day
2014/04/23 09:17:11,5,STAAR
2014/04/23 09:17:11,6,#AdministrativeProfessionalsDay
2014/04/23 09:17:11,7,#MostBeautiful
2014/04/23 09:17:11,8,Wizards
2014/04/23 09:17:11,9,Lupita Nyong'o
2014/04/23 09:17:11,10,William Shakespeare
2014/04/23 09:22:12,1,Watch the Throne
2014/04/23 09:22:12,2,#ThingsBetterThanMiMiSexTape
2014/04/23 09:22:12,3,ACTs
2014/04/23 09:22:12,4,Florida
2014/04/23 09:22:12,5,Lupita Nyong'o
2014/04/23 09:22:12,6,#AdministrativeProfessionalsDay
2014/04/23 09:22:12,7,#MostBeautiful
