22,2014/04/24 07:38:17,1,Michael Pineda
22,2014/04/24 07:38:17,2,FCAT
22,2014/04/24 07:38:17,3,#1DayUntilTheWWAT
22,2014/04/24 07:38:17,4,#OrangeRoom
22,2014/04/24 07:38:17,5,#5SOSonElvis
22,2014/04/24 07:38:17,6,Don't Stop
22,2014/04/24 07:38:17,7,Lamarcus Aldridge
22,2014/04/24 07:38:17,8,#3DaysUntilProblem
22,2014/04/24 07:38:17,9,#GangstaBroadway
22,2014/04/24 07:38:17,10,Penn Relays
23,2014/04/24 07:43:18,1,#throwbackthursday
23,2014/04/24 07:43:18,2,Michael Pineda
23,2014/04/24 07:43:18,3,FCAT
23,2014/04/24 07:43:18,4,#1DayUntilTheWWAT
23,2014/04/24 07:43:18,5,#5SOSonElvis
23,2014/04/24 07:43:18,6,Colombia
23,2014/04/24 07:43:18,7,#3DaysUntilProblem
23,2014/04/24 07:43:18,8,#GangstaBroadway
23,2014/04/24 07:43:18,9,Penn Relays
23,2014/04/24 07:43:18,10,Elizabeth Warren
24,2014/04/24 07:48:19,1,#throwbackthursday
24,2014/04/24 07:48:19,2,Michael Pineda
24,2014/04/24 07:48:19,3,FCAT
24,2014/04/24 07:48:19,4,#1DayUntilTheWWAT
24,2014/04/24 07:48:19,5,#5SOSonElvis
24,2014/04/24 07:48:19,6,Colombia
24,2014/04/24 07:48:19,7,#3DaysUntilProblem
24,2014/04/24 07:48:19,8,#GangstaBroadway
24,2014/04/24 07:48:19,9,Penn Relays
24,2014/04/24 07:48:19,10,Elizabeth Warren
25,2014/04/24 07:53:21,1,#throwbackthursday
25,2014/04/24 07:53:21,2,FCAT
25,2014/04/24 07:53:21,3,#1DayUntilTheWWAT
25,2014/04/24 07:53:21,4,Pineda
25,2014/04/24 07:53:21,5,Dunkin
25,2014/04/24 07:53:21,6,#5SOSonElvis
25,2014/04/24 07:53:21,7,LaMarcus Aldridge
25,2014/04/24 07:53:21,8,#3DaysUntilProblem
25,2014/04/24 07:53:21,9,#GangstaBroadway
25,2014/04/24 07:53:21,10,Penn Relays
26,2014/04/24 07:58:21,1,#throwbackthursday
26,2014/04/24 07:58:21,2,FCAT
26,2014/04/24 07:58:21,3,#1DayUntilTheWWAT
26,2014/04/24 07:58:21,4,Pineda
26,2014/04/24 07:58:21,5,Cliven Bundy
26,2014/04/24 07:58:21,6,#5SOSonElvis
